head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number,canonical_relation
beneficiary,Beneficiary,has,'beneficial interest',Legal Interest,The beneficiary has a beneficial interest in the trust property against the trustee.,When a trust is created vesting a property in the trustee the right of the beneficiary against the trustee (who is the owner of the trust property) is known as the 'beneficial interest'.,331,has
the trustee,Party,has the power of management,the management,Power,The trustee is granted authority to manage the trust's assets or affairs.,the trustee has the power of management and the beneficiary has the right of enjoyment.,332,has the power of management
the beneficiary,Party,has the right of enjoyment,the enjoyment,Right,The beneficiary is entitled to use or benefit from the trust's assets as per its terms.,the trustee has the power of management and the beneficiary has the right of enjoyment.,332,has the right of enjoyment
owner of a goods,Defendant,created,'beneficial interest',Legal Interest,The owner created a beneficial interest in favor of the creditor.,On the other hand when the owner of a goods hypothecates a movable property in favour of a creditor number 'beneficial interest' is created in favour of the creditor nor does the owner of a goods become a trustee in regard to the property hypothecated.,336,created
owner of a goods,Defendant,did not become,trustee,Trustee,The owner of the goods does not assume the role of a trustee regarding the hypothecated property.,On the other hand when the owner of a goods hypothecates a movable property in favour of a creditor number 'beneficial interest' is created in favour of the creditor nor does the owner of a goods become a trustee in regard to the property hypothecated.,336,did not become
Creditor,Party,right under,Deed of Hypothecation,Contract,The legal right held by the creditor in accordance with the terms specified in the deed of hypothecation.,The right of the creditor under a deed of hypothecation is the right to enforce the charge created under the deed of hypothecation in the manner specified in the deed and by number stretch of imagination can such right be equated to a beneficial interest of a beneficiary in a property held in trust.,337,right under
creditor,Creditor,has a beneficial interest in,hypothecated property,Property,"A creditor's claim to a beneficial interest in hypothecated property, which is typically secured by the debtor.",Therefore the first contention that a creditor has a beneficial interest in the hypothecated property and the owner of a goods is in the position of a trustee with reference to the creditor is liable to be rejected.,338,has a beneficial interest in
owner of a goods,Defendant,is in the position of a trustee with reference to,creditor,Creditor,"The owner of goods being treated as a trustee with respect to the creditor, implying fiduciary obligations.",Therefore the first contention that a creditor has a beneficial interest in the hypothecated property and the owner of a goods is in the position of a trustee with reference to the creditor is liable to be rejected.,338,is in the position of a trustee with reference to
Trustee,Party,has duty imposed,trust property or beneficiary,Property/Beneficiary,The trustee is obligated to act in accordance with the trust's terms regarding trust property and beneficiaries.,Whenever there is a breach of any duty imposed on the trustee with reference to the trust property or the beneficiary a breach of any duty imposed on the trustee with reference to the trust property or the beneficiary he commits a breach of trust commits a breach of trust.,333,is bound by
Trustee,Party,has duty imposed,trust property,Property,The trustee is obligated to manage the trust property as per the trust's terms.,Whenever there is a breach of any duty imposed on the trustee with reference to the trust property or the beneficiary a breach of any duty imposed on the trustee with reference to the trust property or the beneficiary he commits a breach of trust commits a breach of trust.,333,is bound by
Trustee,Party,has duty imposed,beneficiary,Beneficiary,The trustee is obligated to act in the best interests of the beneficiary.,Whenever there is a breach of any duty imposed on the trustee with reference to the trust property or the beneficiary a breach of any duty imposed on the trustee with reference to the trust property or the beneficiary he commits a breach of trust commits a breach of trust.,333,has duty imposed
he,Suspect,commits,breach of trust,Criminal Act,The trustee commits a breach of trust by failing to fulfill his duties.,Whenever there is a breach of any duty imposed on the trustee with reference to the trust property or the beneficiary a breach of any duty imposed on the trustee with reference to the trust property or the beneficiary he commits a breach of trust commits a breach of trust.,333,commits
learned counsel,Learned Counsel,sought to distinguish,Duncan Agro 1996 Indlaw SC 2982,Judgment,The learned counsel for the appellant attempted to differentiate or set apart the previous case from the current one.,The second ground on which learned counsel for the appellant sought to distinguish Duncan Agro 1996 Indlaw SC 2982 is that the said case dealt with a hypothecation deed creating a floating charge whereas the case on hand related to a fixed charge and therefore the principle laid down in Duncan Agro 1996 Indlaw SC 2982 will not apply.,341,sought to distinguish
Duncan Agro 1996 Indlaw SC 2982,Judgment,dealt with,hypothecation deed creating a floating charge,Charge,The case Duncan Agro dealt with a specific type of financial arrangement involving a floating charge.,The second ground on which learned counsel for the appellant sought to distinguish Duncan Agro 1996 Indlaw SC 2982 is that the said case dealt with a hypothecation deed creating a floating charge whereas the case on hand related to a fixed charge and therefore the principle laid down in Duncan Agro 1996 Indlaw SC 2982 will not apply.,341,dealt with
the case on hand,Case,related to,a fixed charge,Charge,The current case is concerned with a different type of financial arrangement involving a fixed charge.,The second ground on which learned counsel for the appellant sought to distinguish Duncan Agro 1996 Indlaw SC 2982 is that the said case dealt with a hypothecation deed creating a floating charge whereas the case on hand related to a fixed charge and therefore the principle laid down in Duncan Agro 1996 Indlaw SC 2982 will not apply.,341,related to
Duncan Agro,Company,laid down principle in,Duncan Indlaw SC 2982,Case,The company established a legal principle in the specific case.,therefore the principle laid down in Duncan Agro 1996 stated in Duncan Indlaw SC 2982 will apply in regard to all types of hypothecations.,345,laid down principle in
Duncan Indlaw SC 2982,Case,applies principle to,all types of hypothecations,Dispute,The case's legal principle is applied to various property-related disputes.,therefore the principle laid down in Duncan Agro 1996 stated in Duncan Indlaw SC 2982 will apply in regard to all types of hypothecations.,345,delivers in
Indlaw SC 2982,Case,makes number difference regarding,charge created by the Deed of Hypothecation,Dispute,The case determines whether the charge created by the Deed of Hypothecation is a floating or fixed charge.,Indlaw SC 2982 makes number difference whether the charge created by the Deed of Hypothecation is a floating charge or a fixed charge.,346,interprets application of
specific existing property,Property,subject to,'fixed' charge,Fixed Charge,The legal obligation or condition that a specific asset is bound by a particular charge.,Where a specific existing property is hypothecated what is created is a 'fixed' charge.,347,subject to
Company,Party,has legal charge on,new stock in trade,Stock in Trade,The company has a legal claim or lien on the new stock in trade until it is disposed of.,But as and when new stock in trade is manufactured or received the charge attaches to such future stock in trade until new stock in trade is disposed of.,352,is committed by
Borrower,Party,hypothecates,Bank,Bank,The borrower creates a charge in favor of the bank as security for a loan.,For example where a borrower hypothecates the charge created by the deed of hypothecation stock in trade in favour of the Bank creating a floating charge the stock in trade held by the borrower as on the date of hypothecation may be sold or disposed of by the debtor without reference to the creditor.,349,hypothecates
Charge,Criminal Act,created by,Deed of Hypothecation,Contract,"The charge is established through the deed of hypothecation, a legal agreement between the borrower and the bank.",For example where a borrower hypothecates the charge created by the deed of hypothecation stock in trade in favour of the Bank creating a floating charge the stock in trade held by the borrower as on the date of hypothecation may be sold or disposed of by the debtor without reference to the creditor.,349,created by
Charge,Criminal Act,involves,Stock in Trade,Property,"The charge is created over the stock in trade, which serves as collateral for the loan.",For example where a borrower hypothecates the charge created by the deed of hypothecation stock in trade in favour of the Bank creating a floating charge the stock in trade held by the borrower as on the date of hypothecation may be sold or disposed of by the debtor without reference to the creditor.,349,involves
Deed of Hypothecation,Contract,creates,Floating Charge,Jurisdiction,The deed of hypothecation establishes a floating charge as security for the loan.,For example where a borrower hypothecates the charge created by the deed of hypothecation stock in trade in favour of the Bank creating a floating charge the stock in trade held by the borrower as on the date of hypothecation may be sold or disposed of by the debtor without reference to the creditor.,349,creates
Stock in Trade,Property,may be sold or disposed of by,Debtor,Party,"The stock in trade, subject to the floating charge, may be sold or disposed of by the debtor without reference to the creditor.",For example where a borrower hypothecates the charge created by the deed of hypothecation stock in trade in favour of the Bank creating a floating charge the stock in trade held by the borrower as on the date of hypothecation may be sold or disposed of by the debtor without reference to the creditor.,349,may be sold or disposed of by
Stock in Trade,Property,without reference to,Creditor,Party,"The stock in trade may be disposed of without involving the creditor, as it is subject to a floating charge.",For example where a borrower hypothecates the charge created by the deed of hypothecation stock in trade in favour of the Bank creating a floating charge the stock in trade held by the borrower as on the date of hypothecation may be sold or disposed of by the debtor without reference to the creditor.,349,without reference to
creditor,Creditor,has the right of conversion into pledge and possession,debtor,Party,The creditor has a legal entitlement to convert their security interest from hypothecation to a pledge by taking control of the debtor's stock in trade.,the creditor has the right at any given point of time to exercise his right by converting the hypothecation into a pledge by taking possession of the stock in trade held by the debtor at that point of time.,353,has the right of conversion into pledge and possession
We,Court Official - Judge or Bench,hold that,the basic and very first ingredient of criminal breach of trust that is entrustment is missing,Criminal Act,The Court's decision regarding the absence of a necessary element in a criminal act.,We accordingly hold that the basic and very first ingredient of criminal breach of trust that is entrustment is missing and therefore even if all the allegations in the complaint are taken at all the allegations in the complaint face value as true number case of 'criminal breach of trust' as defined u section,358,issues ruling on
case of 'criminal breach of trust',Criminal Act,as defined u section,'criminal breach of trust' as defined u section,Provision,The legal definition of the criminal act in relation to a specific statutory provision.,We accordingly hold that the basic and very first ingredient of criminal breach of trust that is entrustment is missing and therefore even if all the allegations in the complaint are taken at all the allegations in the complaint face value as true number case of 'criminal breach of trust' as defined u section,358,as defined u section
405 IPC,Statute,can be made out against,NEPC India,Defendant,Indicates that a legal charge under section 405 of the Indian Penal Code (IPC) can be applied against NEPC India.,405 IPC can be made out against NEPC India.,359,can be made out against
deception of a person,Criminal Act,carried out by,making a false or misleading representation or by other action or omission,Method or Means,The act of deception is carried out through making false representations or omissions.,(i) deception of a person either by making a false or misleading representation or by other action or omission,362,seeks to discredit
Offence,Criminal Act,examples include,Cheating,Criminal Act,The offence of cheating is an example of a criminal act.,The essential ingredients of the offence of 'cheating' are,361,convicts of
this Court,Court,has held,Duncan Agro 1996,Case,The court referenced a previous case to establish legal precedent.,this Court in Duncan Agro 1996 has held that mere breach of a contractual terms would not amount to cheating unless fraudulent or dishonest intention is shown right at the beginning of the transaction and in the absence of an allegation that the accused had a fraudulent or dishonest intention while making a promise there is number 'cheating'.,366,has held
mere breach of a contractual terms,Contract,would not amount to,cheating,Criminal Act,A breach of contract alone does not constitute cheating unless specific intent is proven.,this Court in Duncan Agro 1996 has held that mere breach of a contractual terms would not amount to cheating unless fraudulent or dishonest intention is shown right at the beginning of the transaction and in the absence of an allegation that the accused had a fraudulent or dishonest intention while making a promise there is number 'cheating'.,366,would not amount to
this Court,Court,relied on,several decisions of this Court,Judgment,The court decision has referenced and relied upon prior court decisions to support its ruling.,this Court in Duncan Agro 1996 has relied on several decisions of this Court in Duncan Agro 1996 this Court in Duncan Agro 1996 has held that dishonest intent at the time of making the promise inducement is necessary in addition to the subsequent failure to fulfil the promise.,367,relied on
this Court,Court,held,that dishonest intent at the time of making the promise inducement is necessary in addition to the subsequent failure to fulfil the promise,Judgment,The court has established a legal principle that dishonest intent and subsequent failure to fulfill a promise are required for liability.,this Court in Duncan Agro 1996 has relied on several decisions of this Court in Duncan Agro 1996 this Court in Duncan Agro 1996 has held that dishonest intent at the time of making the promise inducement is necessary in addition to the subsequent failure to fulfil the promise.,367,held
Illustrations (f) and (g),Provision,to section 415,Section 415,Statute,The illustrations provide examples or clarification regarding the statute.,Illustrations (f) and (g) to section  415 makes this position clear,368,to section 415
A,Accused,cheats,,,Indicates that person A is engaged in cheating behavior.,A cheats.,370,cheats
A,Accused,intentionally deceives,Z,Defendant,"A intentionally deceives Z, establishing a fraudulent relationship.",(f) A intentionally deceives Z into a belief that A means to repay any money that Z may lend to Z and thereby dishonestly induces Z to lend Z money which A not intending to repay.,369,charges with
A,Accused,dishonestly induces,Z,Defendant,"A dishonestly induces Z to lend money, establishing a criminal act of cheating under Section 415 IPC.",(f) A intentionally deceives Z into a belief that A means to repay any money that Z may lend to Z and thereby dishonestly induces Z to lend Z money which A not intending to repay.,369,dishonestly induces
Z,Defendant,induced by,A,Accused,"Z is induced by A's deceit to lend money, demonstrating a clear fraudulent interaction.",(f) A intentionally deceives Z into a belief that A means to repay any money that Z may lend to Z and thereby dishonestly induces Z to lend Z money which A not intending to repay.,369,induced by
A,Accused,intentionally deceives,Z,Defendant,"A intentionally deceives Z, establishing a fraudulent or criminal act.",A intentionally deceives Z into a belief that A means to deliver to Z a certain quantity of indigo plant which he does not intend to deliver and thereby dishonestly induces Z to advance money upon the faith of such delivery.,372,intentionally deceives
A,Accused,dishonestly induces,Z,Defendant,"A dishonestly induces Z to advance money, constituting a fraudulent act.",A intentionally deceives Z into a belief that A means to deliver to Z a certain quantity of indigo plant which he does not intend to deliver and thereby dishonestly induces Z to advance money upon the faith of such delivery.,372,dishonestly induces
this Court,Court,ruled on requirement,complaint,Complaint,The court established that a complainant is not required to include every detail of the alleged offence in their complaint.,this Court in Duncan Agro 1996 is not necessary that a complainant should verbatim reproduce in the body of his complaint all the ingredients of the offence his is alleging.,375,ruled on requirement
complainant,Plaintiff,should not explicitly state,intention of the accused,Defendant,Indicates that the complainant does not need to explicitly state the dishonest or fraudulent intent of the accused.,Nor is it necessary that the complainant should state in so many words that the intention of the accused was dishonest or fraudulent.,376,declares inconsistency of
John Doe,Plaintiff,filed a lawsuit against,Jane Smith,Defendant,Indicates that the plaintiff has initiated legal proceedings against the defendant.,John Doe filed a lawsuit against Jane Smith for breach of contract.,377,files a lawsuit against
Jane Smith,Defendant,alleged to have committed,breach of contract,Contract,Suggests that the defendant is accused of committing a specific legal wrongdoing.,John Doe filed a lawsuit against Jane Smith for breach of contract.,377,initiates legal action against
The complainant,Plaintiff,induced to believe that respondent would honour payment,respondent,Defendant,"The complainant was misled by the respondent's assurances regarding payment upon receiving invoices, establishing a legal basis for the complaint.",The complainant has stated in the body of the complaint that The complainant was induced to believe that respondent would honour payment on receipt of invoices and that The complainant realised later that the intentions of the respondent were not clear.,379,induced to believe that respondent would honour payment
The complainant,Plaintiff,realised later that,intentions of the respondent were not clear,Defendant,"The complainant discovered after initial belief that the respondent's payment intentions were uncertain, which is a key point in their complaint.",The complainant has stated in the body of the complaint that The complainant was induced to believe that respondent would honour payment on receipt of invoices and that The complainant realised later that the intentions of the respondent were not clear.,379,realised later that
A,Accused,cheats,Criminal Act,Criminal Act,"A is accused of cheating, which constitutes a criminal act.",A cheats.,373,is accused of
A,Accused,intends to deliver,indigo plant,Object,"A intends to deliver the indigo plant, forming a contract.",If A at the time of obtaining the money intends to deliver the indigo plant...,373,establishes agreement between
A,Accused,breaches contract,Breach of Contract,Civil Action,"By breaking contact and not delivering, A breaches the contract.",...and does not deliver the indigo plant...,373,breaches contract
The complainant,Plaintiff,Filed a Complaint Against,the respondent,Defendant,A legal proceeding where the plaintiff (complainant) initiates a case against the defendant (respondent).,The complainant also mentioned the respondent after receiving the goods have sold receiving the goods to others and still The complainant did not pay the money.,380,files a lawsuit against
Such averments,Case,make out a case for investigation by,authorities,Police,Indicates that the Case makes out a need for investigation by the Police.,Such averments would prima facie make out a case for investigation by the authorities.,381,collects for investigation of
the person,Defendant,may be induced fraudulently or dishonestly,to deliver any property to any person,Plaintiff,"The defendant may commit a criminal act of fraud or dishonesty, leading to the delivery of property to another party.",In the first place the person may be induced fraudulently or dishonestly to deliver any property to any person.,384,convicts of
fraudulently or dishonestly,Criminal Act,causes,delivery of property to any person,Property Transfer,The criminal act of fraud or dishonesty is the cause of the delivery of property to another party.,In the first place the person may be induced fraudulently or dishonestly to deliver any property to any person.,384,charges with
On a reading of the section,Date and Time,it is manifest that,in the definition there are set forth two separate classes of acts which the person deceived may be induced to do.,Argument,Indicates the clarity or interpretation of a legal section regarding defined acts.,On a reading of the section it is manifest that in the definition there are set forth two separate classes of acts which the person deceived may be induced to do.,383,interprets in
the person deceived,Suspect,may be induced to do,two separate classes of acts,Criminal Act,Indicates that the person deceived may be induced to perform acts defined as criminal in nature.,On a reading of the section it is manifest that in the definition there are set forth two separate classes of acts which the person deceived may be induced to do.,383,may be induced to do
The second class of acts set forth in the section,Provision,defines,Criminal Act,Criminal Act,These acts are legal actions defined as crimes when committed due to deception.,The second class of acts set forth in the section is the doing or omitting to do anything which the person deceived would not do or omit to do if the person were not so deceived.,385,defines
Breach of Contract,Civil Action,is distinguished from,Offence of Cheating,Criminal Act,"The distinction between breach of contract and the criminal act of cheating is highlighted, indicating that they are separate legal concepts.",In determining the question it has to be kept in mind that the distinction between mere breach of contract and the offence of cheating is a fine one.,388,is distinguished from
person,Suspect,is guilty of,cheating,Criminal Act,The person is suspected of committing the criminal act of cheating.,To hold a person guilty of cheating it is necessary to show that a person had fraudulent or dishonest intention at the time of making the promise.,392,is found guilty of
person,Suspect,failure to keep up promise subsequently such a culpable intention right at the beginning that is when a person made the promise cannot be presumed,promise,Contract,"The failure to uphold a promise indicates a breach of contract, implying potential legal consequences.",From a person mere failure to keep up promise subsequently such a culpable intention right at the beginning that is when a person made the promise cannot be presumed.,393,claims breach of
IOC,Plaintiff,fraudulent intention to cheat and defraud,the accused,Accused,"The legal complaint alleges that the defendant, with fraudulent intent, induced the plaintiff (IOC) to resume supply of aircraft fuel under cash and carry terms through a fraudulent agreement.",In this case the complaints clearly allege that the accused with fraudulent intention to cheat and defraud the IOC had induced IOC to resume supply of aircraft fuel on cash and carry basis by entering into a further agreement dated 2091997 and undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the Hypothecation Agreements.,396,fraudulent intention to cheat and defraud
NEPC India,Defendant,having committed default in paying,the sum of Rs18 crores,Contract,The act of failing to make a payment as agreed upon under a contract or agreement.,The sum and substance of the said allegation read with other averments extracted above is that NEPC India having committed default in paying the sum of Rs18 crores entered into a fresh agreement dated 2091997 agreeing to clear the outstanding as per a fresh schedule with the dishonest and fraudulent intention of pre-empting and avoiding any action by IOC in terms of the hypothecation deeds to take possession of the aircrafts.,399,having committed default in paying
this case,Case,evaluated for applicability,section 415,Statute,The legal evaluation to determine if the case falls under the jurisdiction or provisions of section 415.,All that is to be seen is whether the necessary allegations exist in the complaint to bring this case within section 415.,404,determines applicability of
S. 425 IPC,Statute,provides,Provisions,Provision,Indicates that Section 425 of the Indian Penal Code (IPC) provides specific legal provisions.,S. 425 IPC provides,408,provides
this Court,Court,has lost sight of,the said allegation relating to removal of engines,Party,The court has overlooked or disregarded the allegations related to the removal of engines.,"this Court has lost sight of the said allegation relating to removal of engines in connection with their activities as public officials, and that it is proper for this Honourable Court to assume jurisdiction over the matter.",403,has lost sight of
allegations,Allegation,constitute,offence,Criminal Act,The allegations are identified as a criminal offence.,We are clearly of the view that the allegations in the complaint constitute such an offence.,405,charges with
he,Suspect,having criminal intent towards,wrongful loss or damage to the public or any person,Person,Indicates the presence of mens rea (criminal intent) to cause wrongful loss or damage.,(i) intention to cause or knowledge that he is likely to cause wrongful loss or damage to the public or to any person,411,having criminal intent towards
The three ingredients,Provision,are part of,the Section,Statute,Indicates that the three ingredients are provisions or elements within a section of a statute.,The three ingredients of the Section are,410,are part of
section 425,Statute,is not concerned with,Property,Property,Indicates that the Statute does not address ownership or possession of Property.,For the purpose of section 425 ownership or possession of the property are not relevant.,414,interprets relevance of
The allegations,Allegations,constitute,'mischief',Criminal Act,Indicates that the allegations form or make up the basis of the criminal act.,The allegations clearly constitute the offence of 'mischief'.,417,constitute
the accused,Accused,is related by,section 425,Statute,The accused is associated with the legal provisions outlined in section 425.,Even if the property belongs to the accused himself if The three ingredients of the Section are made out mischief is committed as is evident from illustrations (d) and (e) to section 425.,415,applies in
mischief,Criminal Act,is committed under,section 425,Statute,The act of mischief is defined or prohibited under section 425.,Even if the property belongs to the accused himself if The three ingredients of the Section are made out mischief is committed as is evident from illustrations (d) and (e) to section 425.,415,is committed under
NEPC India,Defendant,removed the engines,IOC,Plaintiff,Alleged removal of engines from aircrafts causing loss and damage.,The complaints clearly allege that NEPC India removed the engines thereby making a change in the aircrafts and that such removal has diminished the value and utility of the aircrafts and affected the aircrafts injuriously thereby causing loss and damage to IOC which has the right to possess the entire aircraft.,416,alleges unauthorized use of
NEPC India,Defendant,diminished the value and utility of the aircrafts,IOC,Plaintiff,Alleged reduction in aircraft value affecting IOC's rights.,The complaints clearly allege that NEPC India removed the engines thereby making a change in the aircrafts and that such removal has diminished the value and utility of the aircrafts and affected the aircrafts injuriously thereby causing loss and damage to IOC which has the right to possess the entire aircraft.,416,diminished the value and utility of the aircrafts
NEPC India,Defendant,affected the aircrafts injuriously,IOC,Plaintiff,Alleged harmful impact on aircrafts leading to loss for IOC.,The complaints clearly allege that NEPC India removed the engines thereby making a change in the aircrafts and that such removal has diminished the value and utility of the aircrafts and affected the aircrafts injuriously thereby causing loss and damage to IOC which has the right to possess the entire aircraft.,416,affected the aircrafts injuriously
NEPC India,Defendant,causing loss and damage,IOC,Plaintiff,Alleged financial harm to IOC due to engine removal.,The complaints clearly allege that NEPC India removed the engines thereby making a change in the aircrafts and that such removal has diminished the value and utility of the aircrafts and affected the aircrafts injuriously thereby causing loss and damage to IOC which has the right to possess the entire aircraft.,416,causing loss and damage
this Court,Court,was not justified in quashing,the complaints criminal proceedings,Case,The court's decision regarding the dismissal of legal actions against a party.,In view of the above discussion we find that this Court in Duncan Agro 1996 was not justified in quashing the complaints criminal proceedings in entirety.,422,was not justified in quashing
this Court,Court,was not justified in quashing,the defendant,Defendant,The court's decision regarding the dismissal of legal actions against a party.,In view of the above discussion we find that this Court in Duncan Agro 1996 was not justified in quashing the complaints criminal proceedings in entirety.,422,upholds judgment against
The allegations,Allegations,constitute offences under,ss. 415 and 425 of IPC,Statute,The allegations are sufficient to establish the basis for crimes under specific sections of the Indian Penal Code (IPC).,The allegations are sufficient to constitute offences u ss. 415 and 425 of IPC.,423,constitute offences under
