head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number
Zandu Pharmaceutical Works limited,defendant,versus,Mohd.,plaintiff,the defendant was sued by the plaintiff,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,91
Madhavrao Jiwaji Rao Scindia,Party,versus,Sambhajirao Chandrojirao Angre,Party,Legal case between two parties.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 141 2000 Indlaw SC 845 Central Board of Film Censor versus  Shrikkanth Srinivasan 1995 (1) SCC 220 1995.,91
State of Haryana,Party,versus,Bhajanlal,Party,Legal case between a Government entity and an individual.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 141 2000 Indlaw SC 845 Central Board of Film Censor versus  Shrikkanth Srinivasan 1995 (1) SCC 220 1995.,91
Central Board of Film Censor,Party,versus,Shrikkanth Srinivasan,Party,Legal case between a Government entity and an individual.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 141 2000 Indlaw SC 845 Central Board of Film Censor versus  Shrikkanth Srinivasan 1995 (1) SCC 220 1995.,91
the power to quash,statute,shall not be used to,stifle or scuttle a legitimate prosecution,criminal act,"the statute outlines that this power cannot be used to hinder legitimate prosecutions, which are considered criminal acts.",The power to quash shall not however be used to stifle or scuttle a legitimate prosecution.,100
complaint,case,relates to,offence,criminal offence,the complaint relates to a criminal offence.,The complaint is not required to verbatim reproduce the legal ingredients of the offence alleged.,102
complaint,Evidence,is not required to verbatim reproduce,offence,Criminal Act,The complaint serves as evidence of the alleged offence without needing to exactly replicate its details.,The complaint is not required to verbatim reproduce the legal ingredients of the offence alleged.,102
complaint,Party,not required to verbatim reproduce,legal ingredients,Provision,The complaint does not need to exactly include all legal provisions of the offence.,The complaint is not required to verbatim reproduce the legal ingredients of the offence alleged.,102
complaint,lawsuit,initiated by,lawsuit,,"A complaint initiates a legal action, which is a lawsuit.",(iv) The complaint is not required to verbatim reproduce the legal ingredients of the offence alleged.,102
offence alleged,dispute,related to,dispute,,An alleged offence is part of a legal dispute.,(iv) The complaint is not required to verbatim reproduce the legal ingredients of the offence alleged.,102
legal ingredients,argument,involves,argument,,Legal ingredients are part of the arguments presented in court.,(iv) The complaint is not required to verbatim reproduce the legal ingredients of the offence alleged.,102
complaint,Party,laid the necessary factual foundation,proceedings,jurisdiction,The complaint provides the factual basis for the court's jurisdiction over the proceedings.,"If the necessary factual foundation is laid in the complaint merely on the ground that a few ingredients have not been stated in detail, the proceedings should not be quashed.",103
complaint,Dispute,refers to,proceedings,Dispute,The complaint establishes the necessary facts related to the legal dispute.,"If the necessary factual foundation is laid in the complaint merely on the ground that a few ingredients have not been stated in detail, the proceedings should not be quashed.",103
A complaint,legal claim,may be quashed,criminal proceeding,criminal act,,(ii) A complaint may also be quashed where it is a clear abuse of the process of the court as when the criminal proceeding is found to have been initiated with malafides malice for wreaking vengeance or to cause harm or where the allegations are absurd and inherently improbable.,99
A complaint,Party,may also be quashed where,it is a clear abuse of the process of the court,Government,The complaint can be dismissed if the court's actions are deemed abusive.,A complaint may also be quashed where it is a clear abuse of the process of the court as when the criminal proceeding is found to have been initiated with malafides malice for wreaking vengeance or to cause harm or where the allegations are absurd and inherently improbable.,99
criminal offence,Criminal Act,is classified as,Criminal Act,Criminal Act,criminal offence is categorized under Criminal Act,The criminal offence is classified as a Criminal Act.,109
Court,court,quashed,complaint,complaint,The court may quash a complaint if it is lacking necessary facts.,Quashing of the complaint is warranted only where the complaint is so bereft of even the basic facts which are absolutely necessary for making out the offence.,106
complaint,,is warranted only where.,offence,,,Quashing of the complaint is warranted only where the complaint is so bereft of even the basic facts which are absolutely necessary for making out the offence.,106
condition,,lacks necessary facts for making out,Criminal Act (offence),,,Quashing of the complaint is warranted only where the complaint is so bereft of even the basic facts which are absolutely necessary for making out the offence.,106
quashing of the complaint,argument,is warranted only where,complaint,dispute,the quashing of the complaint is justified when the complaint lacks essential facts necessary for an offence.,Quashing of the complaint is warranted only where the complaint is so bereft of even the basic facts which are absolutely necessary for making out the offence.,106
a civil wrong,dispute,can also be,a criminal offence,dispute,"a civil wrong can also be a criminal offence, leading to both civil and criminal legal consequences.",(c) A civil wrong can also be a criminal offence.,110
A commercial transaction or a contractual dispute,contract,may also involve,a criminal offence,criminal act,A commercial transaction or a contractual dispute may result in a criminal act.,A commercial transaction or a contractual dispute apart from furnishing a cause of action for seeking remedy in civil law may also involve a criminal offence.,113
A commercial transaction or a contractual dispute,Dispute,may lead to,seeking remedy in civil law,Petitioner,The Dispute may lead to the Petitioner seeking a remedy.,A commercial transaction or a contractual dispute apart from furnishing a cause of action for seeking remedy in civil law may also involve a criminal offence.,113
A commercial transaction or a contractual dispute,Dispute,may also involve,criminal offence,Criminal Offence,The Dispute may lead to a criminal offence.,A commercial transaction or a contractual dispute apart from furnishing a cause of action for seeking remedy in civil law may also involve a criminal offence.,113
breach of contract,,relates to,criminal proceedings,,,As the nature and scope of a civil proceedings are different from a criminal proceeding the mere fact that the complaint relates to a commercial transaction or breach of contract for which a civil remedy is available or has been availed is not by itself a ground to quash the criminal proceedings.,114
civil proceedings,Party,are different from,criminal proceeding,Party,,As the nature and scope of a civil proceedings are different from a criminal proceeding the mere fact that the complaint relates to a commercial transaction or breach of contract for which a civil remedy is available or has been availed is not by itself a ground to quash the criminal proceedings.,114
criminal proceeding,Jurisdiction,is not by itself a ground to quash,criminal proceedings,Jurisdiction,,As the nature and scope of a civil proceedings are different from a criminal proceeding the mere fact that the complaint relates to a commercial transaction or breach of contract for which a civil remedy is available or has been availed is not by itself a ground to quash the criminal proceedings.,114
the test,criminal act,whether the allegations in the complaint disclose,criminal offence or not,criminal act,the test is to determine if there is a criminal act involved.,The test is whether the allegations in the complaint disclose a criminal offence or not.,115
purely civil disputes,dispute,into criminal cases,criminal cases,dispute,The transformation of purely civil disputes into criminal cases.,"While on this issue, it is necessary to take notice of a growing tendency in business circles to convert purely civil disputes into criminal cases.",118
a prevalent impression,impression,that affects,lenders creditors,party,the impression that civil law remedies affect the interests of lenders and creditors.,This is obviously on account of a prevalent impression that civil law remedies are time consuming and do not adequately protect the interests of lenders creditors.,119
civil law remedies,legal remedy,are time consuming,lenders creditors,party,the nature of the remedy that civil law remedies are considered time-consuming and do not adequately protect the interests of lenders and creditors.,This is obviously on account of a prevalent impression that civil law remedies are time consuming and do not adequately protect the interests of lenders creditors.,119
family disputes,Party,leading to,irretrievable break down of marriages,Family Dispute,Family disputes can lead to irretrievable break down of marriages.,Such a tendency is seen in several family disputes also leading to irretrievable break down of marriages families.,120
family disputes,dispute,leading to,irretrievable break down of marriages,dispute,Family disputes can lead to irretrievable break down of marriages.,Such a tendency is seen in several family disputes also leading to irretrievable break down of marriages.,120
person,suspect,could be entangled in,criminal prosecution,police,The suspect may face criminal charges.,"There is an impression that if a person could somehow be entangled in a criminal prosecution, there is a likelihood of imminent settlement.",123
criminal prosecution,police,could lead to,imminent settlement,court,Criminal proceedings might result in a legal resolution.,There is also an impression that if a person could somehow be entangled in a criminal prosecution there is a likelihood of imminent settlement.,123
criminal prosecution,Government,may lead to,settlement,Government,Criminal prosecution may lead to a legal settlement.,There is also an impression that if a person could somehow be entangled in a criminal prosecution there is a likelihood of imminent settlement.,123
Criminal proceedings,Criminal Act,are not a short cut of,other remedies available in law,Statute,Criminal proceedings are not an alternative method to other legal remedies available in law.,Criminal proceedings are not a short cut of other remedies available in law.,129
Criminal proceedings,Government,are not a short cut of,other remedies,Government,Criminal proceedings are not an alternative method for other available legal remedies.,Criminal proceedings are not a short cut of other remedies available in law.,129
Definition,,related to fixing,deal,,,19.,126
criminal court,Criminal Act,must exercise caution,issuing process,Evidence,"The criminal court, in the context of criminal acts, must carefully issue processes to ensure proper legal actions are taken.","Before issuing a process, a criminal court has to exercise a great deal of caution.",130
issuing process,Evidence,is subject to,criminal court,Criminal Act,The issuing of a process by the criminal court is subject to careful consideration and caution.,"Before issuing a process, a criminal court has to exercise a great deal of caution.",130
criminal court,Government,must exercise,issuing process,Legal Term,The criminal court has to be cautious when issuing legal processes.,"Before issuing process, a criminal court has to exercise a great deal of caution.",130
the accused,Criminal Act,it is a serious matter for,the accused,Criminal Act,The accused is involved in a legal situation that is considered serious.,For the accused it is a serious matter.,131
matter,Case,is given a cloak of,criminal offence,Criminal Offence,A matter which is essentially of civil nature has been mistakenly given the classification of criminal offence.,It is to be seen if a matter which is essentially of civil nature has been given a cloak of criminal offence.,128
matter,Party,has been given a cloak of,criminal offence,Penalty,The matter has been incorrectly classified as a criminal offence.,It is to be seen if a matter which is essentially of civil nature has been given a cloak of criminal offence.,128
G Sagar Suri,plaintiff,filed lawsuit against,State of UP,defendant,"the plaintiff, G Sagar Suri, filed a lawsuit against the defendant, State of UP.",In G Sagar Suri versus State of UP 2000 (2) SCC 636 2000 Indlaw SC 603 this Court observed,127
G Sagar Suri,Party,versus,State of UP,Party,Legal action taken against the State of UP by G Sagar Suri.,"In G Sagar Suri versus State of UP 2000 (2) SCC 636 2000 Indlaw SC 603, this Court observed",127
this Court,Court Official,observed,,,The court observed the case.,In G Sagar Suri versus State of UP 2000 (2) SCC 636 2000 Indlaw SC 603 this Court observed,127
,,,,,,In G Sagar Suri versus  State of UP 2000 (2) SCC 636 2000 Indlaw SC 603 this Court observed,127
,,,,,,In G Sagar Suri versus  State of UP 2000 (2) SCC 636 2000 Indlaw SC 603 this Court observed,127
,,,,,,In G Sagar Suri versus  State of UP 2000 (2) SCC 636 2000 Indlaw SC 603 this Court observed,127
,,,,,,Any effort to settle civil disputes and claims which do not involve any criminal offence by applying pressure though criminal prosecution should be deprecated and discouraged.,124
Any effort,Party,applies pressure through,Criminal prosecution,Government,Efforts apply pressure using criminal prosecution as a method.,Any effort to settle civil disputes and claims which do not involve any criminal offence by applying pressure though criminal prosecution should be deprecated and discouraged.,124
This Court,court,has laid principles on the basis of which,High Court,court,This court established principles for how the high court should exercise its jurisdiction.,This Court has laid certain principles on the basis of which High Court is to exercise its jurisdiction.,132
This Court,court,laid certain principles,High Court,court,the court established rules that guide the high court's jurisdiction,This court has laid certain principles on the basis of which the high court is to exercise its jurisdiction.,132
This Court,Government,has laid certain principles on the basis of which,High Court,Government,The Government court has established legal principles for the High Court to follow in exercising its jurisdiction.,This Court has laid certain principles on the basis of which High Court is to exercise its jurisdiction u section.,132
This Court,court,laid principles on which,High Court,court,This court established principles that the High Court must follow in exercising its jurisdiction.,This Court has laid certain principles on the basis of which High Court is to exercise its jurisdiction under section.,132
482,statute,referenced by,Code,statute,The statute 482 is part of the legal framework referred to as the Code.,482 of the Code.,133
Code,Government,referenced by,482,Provision,The Code is referenced in relation to provision 482.,482 of the Code.,133
definition,provision,related to,deal fixing,penalty,"the provision relates to the inability to fix a deal, potentially leading to penalties.",The definition demonstrated that they are not in the position of fixing a deal.,136
definition,Evidence,demonstrated that,deal,Contract,evidence showed the inability to finalize a contract.,"The evidence, defined as 'definition,' demonstrated that they are not in the position of fixing a deal related to a contract.",21
